species,common_name,total_obs,rarity,concern_level,conservation,period_count,peak,active,duration_weeks
Alliaria petiolata,garlic mustard,3083,Common,Least Concern,Not assessed,1,Apr 22,Apr 08 – May 13,6
Allium tricoccum,wide leek,438,Common,Least Concern,IUCN: LC,2,Apr 22,Apr 01 – Jul 08,15
Amelanchier arborea,common serviceberry,33,Rare,Least Concern,IUCN: LC,3,May 06,Apr 08 – Jun 17,11
Asimina triloba,common pawpaw,29,Rare,Least Concern,IUCN: LC,2,May 13,Mar 25 – Oct 14,30
Cantharellus cinnabarinus,Red Chanterelle,375,Common,Least Concern,IUCN: LC,1,Jul 22,Jun 24 – Aug 26,10
Cantharellus minor,Small Chanterelle,22,Rare,Least Concern,IUCN: LC,1,Jul 15,Jun 17 – Aug 26,11
Carya ovata,shagbark hickory,327,Common,Least Concern,IUCN: LC,1,Apr 22,Jan 01 – Dec 23,52
Castanea dentata,American chestnut,788,Common,Endangered,IUCN: CR,1,Jun 17,May 13 – Oct 21,24
Chenopodium album,Common Lambsquarters,188,Uncommon,Least Concern,Not assessed,1,Jun 24,May 13 – Sep 30,21
Claytonia virginica,Virginia Springbeauty,351,Common,Least Concern,Not assessed,1,Apr 22,Apr 08 – Apr 29,4
Elaeagnus umbellata,autumn olive,1943,Common,Least Concern,IUCN: LC,1,May 06,Apr 22 – Oct 14,26
Gaylussacia baccata,black huckleberry,178,Uncommon,Least Concern,Not assessed,1,May 06,Apr 29 – Oct 14,25
Grifola frondosa,hen of the woods,306,Common,Least Concern,Not assessed,1,Sep 30,Sep 09 – Oct 14,6
Hemerocallis fulva,orange day-lily,25,Rare,Least Concern,Not assessed,1,Jul 01,Jun 24 – Jul 08,3
Juglans nigra,eastern black walnut,233,Common,Least Concern,IUCN: LC,2,Jul 15,May 20 – Nov 04,25
Laetiporus sulphureus,chicken of the woods,649,Common,Least Concern,Not assessed,1,Sep 16,May 27 – Oct 07,20
Lindera benzoin,northern spicebush,1011,Common,Least Concern,IUCN: LC,1,Apr 08,Apr 01 – Sep 16,25
Matteuccia struthiopteris,ostrich fern,236,Common,Least Concern,IUCN: LC,4,Apr 29,Apr 15 – Aug 19,19
Mentha canadensis,Canada mint,25,Rare,Least Concern,Not assessed,1,Jul 15,Jul 01 – Sep 16,12
Morchella americana,American yellow morel,45,Rare,Least Concern,Not assessed,1,May 06,Apr 22 – May 13,4
Oxalis corniculata,Creeping Woodsorrel,21,Rare,Least Concern,Not assessed,6,Sep 02,Apr 08 – Dec 23,38
Oxalis dillenii,slender yellow woodsorrel,26,Rare,Least Concern,Not assessed,2,May 13,Apr 22 – Sep 30,24
Oxalis montana,mountain woodsorrel,25,Rare,Least Concern,NS-local: S3S4,1,Jun 10,May 13 – Jul 01,8
Oxalis stricta,upright yellow woodsorrel,114,Uncommon,Least Concern,Not assessed,1,May 20,May 13 – Sep 16,19
Plantago major,greater plantain,156,Uncommon,Least Concern,IUCN: LC,2,Jun 17,Apr 22 – Oct 14,26
Pleurotus ostreatus,Oyster Mushroom,53,Uncommon,Least Concern,Not assessed,3,Nov 04,Feb 05 – Dec 23,47
Pleurotus pulmonarius,pale oyster,25,Rare,Least Concern,Not assessed,2,Jul 01,Jul 01 – Oct 07,15
Portulaca oleracea,Common Purslane,252,Common,Least Concern,IUCN: LC,1,Jul 01,Jun 17 – Sep 23,15
Prunus maritima,Beach Plum,125,Uncommon,Least Concern,IUCN: DD,2,Aug 12,Apr 29 – Aug 26,18
Rosa multiflora,multiflora rose,2472,Common,Least Concern,Not assessed,2,Jun 03,Apr 22 – Sep 09,21
Rubus occidentalis,black raspberry,95,Uncommon,Least Concern,Not assessed,4,Jul 01,Apr 15 – Jul 08,13
Rubus phoenicolasius,wineberry,326,Common,Least Concern,Not assessed,2,Jul 22,Mar 04 – Oct 28,35
Sambucus canadensis,American black elderberry,565,Common,Least Concern,Not assessed,1,Jun 17,May 27 – Jul 29,10
Sassafras albidum,sassafras,1755,Common,Least Concern,IUCN: LC,1,May 27,Apr 22 – Oct 21,27
Smilax rotundifolia,roundleaf greenbrier,200,Uncommon,Least Concern,Not assessed,1,May 27,Jan 15 – Dec 16,49
Stellaria media,common chickweed,97,Uncommon,Least Concern,Not assessed,4,Apr 22,Jan 08 – Jun 10,23
Taraxacum officinale,common dandelion,700,Common,Least Concern,Not assessed,1,Apr 22,Apr 08 – May 13,6
Vaccinium angustifolium,lowbush blueberry,117,Uncommon,Least Concern,Not assessed,2,Apr 22,Apr 22 – Oct 28,28
Vaccinium corymbosum,Northern highbush blueberry,191,Uncommon,Least Concern,Not assessed,2,May 06,Apr 15 – Jul 01,12
Vaccinium fuscatum,Black Highbush Blueberry,30,Rare,Least Concern,Not assessed,3,Jul 08,Apr 29 – Sep 30,23
Vaccinium macrocarpon,American Cranberry,72,Uncommon,Least Concern,IUCN: LC,3,Jun 17,Feb 19 – Oct 14,35
Vaccinium pallidum,Early Lowbush Blueberry,84,Uncommon,Least Concern,Not assessed,2,May 13,Apr 22 – Jul 15,13
Viola sororia,common blue violet,475,Common,Least Concern,Not assessed,1,Apr 22,Apr 08 – May 06,5
